hidden_layers,learning_rate,accuracy_score,precision_score,recall_score,f1_score
"(4, 2)",2,0.9444444444444444,0.7173479853479854,0.6927324088341038,0.7014749408115432
"(4, 2)",1.6,0.9644444444444444,0.7195,0.7324535502089417,0.725756229879811
"(4, 2)",1,0.9555555555555556,0.7183642156238053,0.7144869189154621,0.7154250013769878
"(4, 2)",0.1,0.7933333333333333,0.40374398140461565,0.4756149838422476,0.436522203867457
"(4, 2)",0.01,0.5711111111111111,0.14277777777777778,0.25,0.18175388967468176
"(4, 2)",0.001,0.5711111111111111,0.14277777777777778,0.25,0.18175388967468176
"(8, 4)",2,0.9288888888888889,0.6699183549388747,0.7253346963002044,0.6931940195745201
"(8, 4)",1.6,0.9577777777777777,0.7163309211333252,0.7210899138453053,0.7182504352643242
"(8, 4)",1,0.9533333333333334,0.7142327044025157,0.7135141562695477,0.7130947312939651
"(8, 4)",0.1,0.5711111111111111,0.14277777777777778,0.25,0.18175388967468176
"(8, 4)",0.01,0.5711111111111111,0.14277777777777778,0.25,0.18175388967468176
"(8, 4)",0.001,0.5711111111111111,0.14277777777777778,0.25,0.18175388967468176
"(16, 8)",2,0.9444444444444444,0.9335029767620511,0.97568093385214,0.9510081134095156
"(16, 8)",1.6,0.9244444444444444,0.6658829850389099,0.7233891710083756,0.6897434836003367
"(16, 8)",1,0.96,0.717384102750515,0.7248777926331841,0.7207819759835413
"(16, 8)",0.1,0.5711111111111111,0.14277777777777778,0.25,0.18175388967468176
"(16, 8)",0.01,0.5711111111111111,0.14277777777777778,0.25,0.18175388967468176
"(16, 8)",0.001,0.5711111111111111,0.14277777777777778,0.25,0.18175388967468176
"(32, 16)",2,0.8711111111111111,0.6883327048768225,0.6027863379558295,0.630884772302045
"(32, 16)",1.6,0.7888888888888889,0.5732229744023694,0.6663424124513618,0.5910494492702562
"(32, 16)",1,0.9777777777777777,0.9832473506137629,0.9471000148554063,0.9642014766968816
"(32, 16)",0.1,0.5711111111111111,0.14277777777777778,0.25,0.18175388967468176
"(32, 16)",0.01,0.5711111111111111,0.14277777777777778,0.25,0.18175388967468176
"(32, 16)",0.001,0.5711111111111111,0.14277777777777778,0.25,0.18175388967468176
